Region,TEMP_C,Year
Central Asia & Mongolia,12.651785714285714,1946
East Asia & China,15.95620240727094,1946
Europe & Russia,10.816163003663004,1946
Latin America & Caribbean,26.186864426636674,1946
MENA,20.72123426155684,1946
North America,11.395214881380825,1946
Oceania,21.29128626759346,1946
Other,8.64778040722068,1946
South Asia,22.612607557052,1946
Southeast Asia,26.236638979780185,1946
Sub-Saharan Africa,25.80453546767106,1946
Central Asia & Mongolia,0.05795088986090861,1948
East Asia & China,9.143499308437068,1948
Europe & Russia,-1.4694454637055674,1948
Latin America & Caribbean,23.70872936468234,1948
MENA,19.717999668819342,1948
North America,11.437698586438975,1948
Oceania,21.17722577991239,1948
Other,0.8024797157447917,1948
Southeast Asia,25.097945669742945,1948
Central Asia & Mongolia,3.0300587920450934,1952
East Asia & China,9.366664186692457,1952
Europe & Russia,5.250788876629604,1952
Latin America & Caribbean,23.19295918367347,1952
MENA,19.833541539711558,1952
North America,12.427613517292336,1952
Oceania,21.152952199502675,1952
Other,1.9693838813081164,1952
South Asia,17.90509259259259,1952
Southeast Asia,24.971439680289787,1952
Sub-Saharan Africa,7.589253187613843,1952
Central Asia & Mongolia,3.003430762503784,1954
East Asia & China,12.086455433312695,1954
Europe & Russia,5.753307837344393,1954
Latin America & Caribbean,20.74053280493175,1954
MENA,19.449563553190497,1954
North America,12.679733364641443,1954
Oceania,19.856073801690215,1954
Other,2.8616540268221784,1954
South Asia,26.288926681783824,1954
Southeast Asia,26.061289768915103,1954
Sub-Saharan Africa,7.453272450532724,1954
Central Asia & Mongolia,-1.6055698268711032,1956
East Asia & China,9.923782491658608,1956
Europe & Russia,3.0311297593319404,1956
Latin America & Caribbean,22.252907118182257,1956
MENA,20.99635297948551,1956
North America,12.083255971128235,1956
Oceania,19.97174849811914,1956
Other,-1.79932522334157,1956
South Asia,16.175925925925924,1956
Southeast Asia,25.454397163912045,1956
Sub-Saharan Africa,18.305923125393825,1956
Central Asia & Mongolia,3.590851005744623,1958
East Asia & China,10.32890797643597,1958
Europe & Russia,4.371135994821142,1958
Latin America & Caribbean,18.011227005967353,1958
MENA,22.915190693104684,1958
North America,10.47897801558237,1958
Oceania,19.8323206956146,1958
Other,-1.7374769886638892,1958
South Asia,24.513854149296872,1958
